wTask,Description,Actions,Objects
Infrastructure Task 201,Supervise ramps and upgrade handrails in the sports complex.,"replace, plan, inspect, configure, report","faucets, wiring, HVAC units, lighting fixtures, UPS"
Infrastructure Task 202,Document switches and report fiber cables in the cafeteria.,"verify, approve, configure, calibrate","UPS, switches, classrooms, routers"
Infrastructure Task 203,Repair UPS and schedule lighting fixtures in the campus grounds.,"approve, rectify, clean, report","doors, parking sensors, roofing, desks, wiring"
Infrastructure Task 204,Test security cameras and monitor fire extinguishers in the library.,"verify, test, monitor, audit","paint, water tanks, corridors, faucets"
Infrastructure Task 205,Report signs and test routers in the parking lot.,"refuel, upgrade, document, inspect, design","switches, elevators, whiteboards, server room"
Infrastructure Task 206,Repair routers and design elevators in the administration building.,"repair, document, report, install","pipes, UPS, signs, server room"
Infrastructure Task 207,Report walkways and mark UPS in the academic blocks.,"verify, mark, assess, report, calibrate","walkways, solar panels, landscaping tools, exit signs"
Infrastructure Task 208,Inspect classrooms and plan solar panels in the laboratory.,"configure, paint, approve, verify, schedule","switches, fiber cables, walkways, roofing, parking sensors"
Infrastructure Task 209,Maintain handrails and clean exit signs in the library.,"report, audit, supervise, install","fuel tanks, chairs, switches, signs"
Infrastructure Task 210,Repair server room and calibrate water tanks in the sports complex.,"report, plan, audit, document","control panels, fiber cables, chairs, walkways"
Infrastructure Task 211,Refuel generators and rectify ramps in the auditorium.,"refuel, plan, upgrade, clean, repair","control panels, fire extinguishers, elevators, routers, ramps"
Infrastructure Task 212,Configure desks and report ramps in the campus grounds.,"inspect, install, calibrate, refuel","HVAC units, roofing, ramps, switches, landscaping tools"
Infrastructure Task 213,Schedule exit signs and schedule lighting fixtures in the academic blocks.,"install, inspect, design, rectify, replace","corridors, routers, switches, solar panels, wiring"
Infrastructure Task 214,Repair chairs and design classrooms in the laboratory.,"replace, report, paint, assess, test","landscaping tools, server room, parking sensors, elevators"
Infrastructure Task 215,Verify water tanks and plan desks in the administration building.,"approve, upgrade, clean, plan, configure","solar panels, exit signs, chairs, switches"
Infrastructure Task 216,Report HVAC units and clean paint in the academic blocks.,"upgrade, report, configure, inspect","roofing, switches, elevators, HVAC units, control panels"
Infrastructure Task 217,Assess classrooms and configure UPS in the sports complex.,"report, install, refuel, upgrade, inspect","pipes, walkways, switches, classrooms, roofing"
Infrastructure Task 218,Inspect roofing and monitor wiring in the library.,"refuel, approve, audit, test, monitor","generators, signs, routers, doors, switches"
Infrastructure Task 219,Maintain paint and approve fiber cables in the laboratory.,"audit, test, rectify, document","server room, landscaping tools, desks, security cameras"
Infrastructure Task 220,Clean generators and inspect desks in the cafeteria.,"maintain, rectify, upgrade, calibrate","paint, switches, roofing, whiteboards, wiring"
Infrastructure Task 221,Inspect fiber cables and configure parking sensors in the academic blocks.,"approve, monitor, install, audit, repair","switches, solar panels, fuel tanks, parking sensors, lighting fixtures"
Infrastructure Task 222,Audit water tanks and schedule switches in the cafeteria.,"replace, repair, design, verify, clean","ramps, exit signs, switches, corridors"
Infrastructure Task 223,Audit corridors and audit ramps in the parking lot.,"verify, calibrate, refuel, report, rectify","landscaping tools, ramps, lighting fixtures, whiteboards, routers"
Infrastructure Task 224,Audit classrooms and mark paint in the auditorium.,"verify, monitor, plan, repair","roofing, lighting fixtures, generators, classrooms"
Infrastructure Task 225,Calibrate paint and schedule landscaping tools in the library.,"approve, refuel, report, monitor","classrooms, UPS, pipes, server room"
Infrastructure Task 226,Schedule routers and plan generators in the academic blocks.,"clean, configure, calibrate, report, maintain","exit signs, corridors, chairs, roofing"
Infrastructure Task 227,Assess doors and verify parking sensors in the auditorium.,"test, report, assess, inspect, replace","switches, faucets, walkways, roofing"
Infrastructure Task 228,Install landscaping tools and schedule water tanks in the sports complex.,"refuel, test, plan, assess, replace","solar panels, walkways, pipes, lighting fixtures, water tanks"
Infrastructure Task 229,Upgrade faucets and assess chairs in the sports complex.,"clean, report, calibrate, rectify","wiring, corridors, signs, solar panels"
Infrastructure Task 230,Repair wiring and calibrate whiteboards in the laboratory.,"audit, plan, paint, supervise, replace","classrooms, switches, security cameras, routers"
Infrastructure Task 231,Maintain desks and report lighting fixtures in the auditorium.,"replace, repair, assess, document, report","security cameras, exit signs, landscaping tools, UPS, switches"
Infrastructure Task 232,Plan routers and assess water tanks in the laboratory.,"verify, design, mark, refuel","fiber cables, routers, UPS, roofing, desks"
Infrastructure Task 233,Paint classrooms and approve fire extinguishers in the administration building.,"assess, install, inspect, upgrade","signs, classrooms, switches, desks"
Infrastructure Task 234,Document classrooms and rectify handrails in the sports complex.,"maintain, assess, refuel, install","landscaping tools, switches, UPS, fuel tanks, pipes"
Infrastructure Task 235,Clean routers and inspect UPS in the academic blocks.,"rectify, design, paint, clean","water tanks, fire extinguishers, doors, generators, HVAC units"
Infrastructure Task 236,Assess generators and supervise server room in the sports complex.,"test, audit, assess, upgrade","fiber cables, signs, whiteboards, lighting fixtures"
Infrastructure Task 237,Rectify switches and design elevators in the sports complex.,"assess, supervise, calibrate, paint, refuel","whiteboards, exit signs, landscaping tools, elevators, HVAC units"
Infrastructure Task 238,Verify UPS and mark switches in the laboratory.,"audit, monitor, refuel, document, calibrate","whiteboards, faucets, server room, switches"
Infrastructure Task 239,Mark parking sensors and calibrate ramps in the student hostels.,"inspect, design, test, clean","switches, HVAC units, fiber cables, UPS"
Infrastructure Task 240,Report parking sensors and approve fire extinguishers in the laboratory.,"rectify, plan, inspect, refuel","solar panels, switches, wiring, chairs, desks"
Infrastructure Task 241,Maintain fuel tanks and calibrate lighting fixtures in the sports complex.,"schedule, supervise, clean, assess, report","walkways, security cameras, routers, exit signs"
Infrastructure Task 242,Assess desks and report paint in the administration building.,"replace, configure, mark, report, schedule","switches, control panels, handrails, parking sensors"
Infrastructure Task 243,Test solar panels and upgrade UPS in the student hostels.,"test, approve, install, design","routers, roofing, desks, parking sensors, faucets"
Infrastructure Task 244,Verify pipes and test wiring in the campus grounds.,"verify, schedule, inspect, configure","pipes, water tanks, switches, walkways, solar panels"
Infrastructure Task 245,Paint chairs and clean doors in the sports complex.,"supervise, install, replace, test, configure","solar panels, corridors, elevators, doors"
Infrastructure Task 246,Monitor parking sensors and configure doors in the cafeteria.,"test, approve, rectify, inspect","control panels, routers, exit signs, elevators, security cameras"
Infrastructure Task 247,Monitor elevators and document water tanks in the library.,"test, plan, monitor, calibrate","exit signs, pipes, landscaping tools, switches"
Infrastructure Task 248,Verify solar panels and paint chairs in the auditorium.,"design, paint, inspect, verify, assess","security cameras, pipes, routers, parking sensors, desks"
Infrastructure Task 249,Inspect exit signs and rectify handrails in the administration building.,"approve, install, paint, design, mark","solar panels, wiring, server room, fuel tanks, corridors"
Infrastructure Task 250,Refuel ramps and repair HVAC units in the library.,"approve, refuel, calibrate, inspect, schedule","wiring, fire extinguishers, security cameras, control panels"
Infrastructure Task 251,Assess elevators and calibrate lighting fixtures in the administration building.,"report, plan, install, configure, test","routers, wiring, fire extinguishers, water tanks"
Infrastructure Task 252,Calibrate whiteboards and supervise landscaping tools in the sports complex.,"assess, verify, configure, inspect","signs, classrooms, control panels, whiteboards, chairs"
Infrastructure Task 253,Supervise server room and inspect fire extinguishers in the library.,"refuel, supervise, rectify, assess","signs, roofing, whiteboards, fuel tanks, chairs"
Infrastructure Task 254,Rectify wiring and report elevators in the parking lot.,"install, approve, refuel, audit, schedule","handrails, faucets, landscaping tools, chairs, fiber cables"
